#node	date	numeric date
NODE_0000002	2014-03-10	2014.188188
NODE_0000007	2014-03-13	2014.195076
KJ660348-Gueckedou-C05|2014-03-19	2014-03-19	2014.212329
KJ660346-Kissidougou-C15|2014-03-17	2014-03-17	2014.206849
NODE_0000001	2014-03-10	2014.188188
KJ660347-Gueckedou-C07|2014-03-20	2014-03-20	2014.215068
NODE_0000000	2014-05-12	2014.361282
KM034562-G3686|2014-05-28	2014-05-28	2014.404110
NODE_0000015	2014-05-25	2014.394782
KM034563-G3687|2014-05-28	2014-05-28	2014.404110
NODE_0000004	2014-05-26	2014.398795
KM034559-G3680|2014-05-28	2014-05-28	2014.404110
NODE_0000005	2014-05-26	2014.398795
KM034561-G3683|2014-05-28	2014-05-28	2014.404110
KM034554-G3676|2014-05-27	2014-05-27	2014.401370
NODE_0000006	2014-05-13	2014.362148
KM034550-EM095|2014-05-25	2014-05-25	2014.395890
NODE_0000008	2014-05-25	2014.394548
KM034556-G3677|2014-05-26	2014-05-26	2014.398630
NODE_0000024	2014-05-26	2014.398630
KM034558-G3679|2014-05-28	2014-05-28	2014.404110
KM034551-EM096|2014-05-26	2014-05-26	2014.398630
NODE_0000032	2014-05-26	2014.399991
KM034560-G3682|2014-05-28	2014-05-28	2014.404110
NODE_0000033	2014-05-26	2014.399991
AA000000-G3769|2014-06-12	2014-06-12	2014.445205
AA000000-G3810|2014-06-15	2014-06-15	2014.453425
NODE_0000009	2014-05-26	2014.398416
NODE_0000010	2014-05-26	2014.398630
KM034552-EM098|2014-05-26	2014-05-26	2014.398630
KM034553-G3670|2014-05-27	2014-05-27	2014.401370
NODE_0000011	2014-06-06	2014.429783
NODE_0000012	2014-06-07	2014.431507
AA000000-G3729|2014-06-07	2014-06-07	2014.431507
AA000000-G3799|2014-06-15	2014-06-15	2014.453425
NODE_0000013	2014-06-07	2014.431507
AA000000-G3734|2014-06-07	2014-06-07	2014.431507
AA000000-G3796|2014-06-15	2014-06-15	2014.453425
NODE_0000014	2014-05-26	2014.398908
NODE_0000026	2014-06-14	2014.450685
AA000000-G3831|2014-06-16	2014-06-16	2014.456164
AA000000-G3787|2014-06-14	2014-06-14	2014.450685
NODE_0000016	2014-05-26	2014.398908
NODE_0000017	2014-05-27	2014.400553
NODE_0000018	2014-06-15	2014.453425
AA000000-G3820|2014-06-15	2014-06-15	2014.453425
AA000000-G3808|2014-06-15	2014-06-15	2014.453425
NODE_0000019	2014-05-27	2014.400743
AA000000-G3795|2014-06-15	2014-06-15	2014.453425
NODE_0000020	2014-05-27	2014.401039
AA000000-G3786|2014-06-14	2014-06-14	2014.450685
NODE_0000021	2014-05-27	2014.401039
NODE_0000022	2014-05-27	2014.401173
AA000000-G3800|2014-06-15	2014-06-15	2014.453425
AA000000-EM120|2014-06-03	2014-06-03	2014.420548
NODE_0000023	2014-06-02	2014.417631
NODE_0000025	2014-06-14	2014.450685
AA000000-G3841|2014-06-17	2014-06-17	2014.458904
AA000000-G3782|2014-06-14	2014-06-14	2014.450685
NODE_0000027	2014-06-02	2014.418780
AA000000-G3823|2014-06-15	2014-06-15	2014.453425
NODE_0000028	2014-06-03	2014.419861
NODE_0000029	2014-06-03	2014.419930
AA000000-EM121|2014-06-04	2014-06-04	2014.423288
AA000000-G3838|2014-06-17	2014-06-17	2014.458904
NODE_0000030	2014-06-10	2014.440442
AA000000-G3807|2014-06-15	2014-06-15	2014.453425
NODE_0000031	2014-06-10	2014.440442
AA000000-G3758|2014-06-11	2014-06-11	2014.442466
AA000000-G3788|2014-06-14	2014-06-14	2014.450685
NODE_0000036	2014-05-28	2014.403567
AA000000-G3724|2014-06-05	2014-06-05	2014.426027
NODE_0000056	2014-05-28	2014.403567
NODE_0000057	2014-05-28	2014.403567
AA000000-EM104|2014-06-02	2014-06-02	2014.417808
AA000000-G3818|2014-06-15	2014-06-15	2014.453425
NODE_0000058	2014-05-28	2014.403567
NODE_0000059	2014-06-04	2014.423288
AA000000-EM124|2014-06-04	2014-06-04	2014.423288
NODE_0000060	2014-06-04	2014.424484
NODE_0000067	2014-06-15	2014.453180
AA000000-G3827|2014-06-16	2014-06-16	2014.456164
AA000000-G3826|2014-06-16	2014-06-16	2014.456164
NODE_0000062	2014-06-05	2014.425934
NODE_0000035	2014-06-12	2014.445205
AA000000-G3771|2014-06-12	2014-06-12	2014.445205
AA000000-G3856|2014-06-18	2014-06-18	2014.461644
NODE_0000064	2014-06-05	2014.425934
AA000000-G3750|2014-06-10	2014-06-10	2014.439726
AA000000-G3819|2014-06-15	2014-06-15	2014.453425
NODE_0000065	2014-05-28	2014.403567
NODE_0000066	2014-05-28	2014.403578
AA000000-G3707|2014-05-31	2014-05-31	2014.412329
NODE_0000069	2014-05-28	2014.403578
NODE_0000072	2014-06-03	2014.420548
AA000000-G3770|2014-06-12	2014-06-12	2014.445205
AA000000-EM119|2014-06-03	2014-06-03	2014.420548
NODE_0000038	2014-06-03	2014.419334
NODE_0000039	2014-06-03	2014.420548
AA000000-EM115|2014-06-03	2014-06-03	2014.420548
AA000000-EM112|2014-06-03	2014-06-03	2014.420548
NODE_0000040	2014-06-04	2014.422552
AA000000-G3735|2014-06-07	2014-06-07	2014.431507
NODE_0000041	2014-06-04	2014.422552
AA000000-G3713|2014-06-09	2014-06-09	2014.436986
NODE_0000042	2014-06-06	2014.429648
NODE_0000043	2014-06-06	2014.429648
AA000000-G3764|2014-06-12	2014-06-12	2014.445205
AA000000-G3817|2014-06-15	2014-06-15	2014.453425
NODE_0000044	2014-06-12	2014.445053
NODE_0000045	2014-06-15	2014.453425
AA000000-G3814|2014-06-15	2014-06-15	2014.453425
AA000000-G3805|2014-06-15	2014-06-15	2014.453425
NODE_0000046	2014-06-12	2014.445053
AA000000-G3846|2014-06-18	2014-06-18	2014.461644
NODE_0000047	2014-06-14	2014.450685
AA000000-G3765|2014-06-14	2014-06-14	2014.450685
NODE_0000048	2014-06-15	2014.452754
AA000000-G3798|2014-06-15	2014-06-15	2014.453425
NODE_0000049	2014-06-15	2014.452941
AA000000-G3850|2014-06-18	2014-06-18	2014.461644
AA000000-G3840|2014-06-17	2014-06-17	2014.458904
NODE_0000083	2014-05-28	2014.403980
AA000000-NM042|2014-06-04	2014-06-04	2014.423288
NODE_0000084	2014-06-02	2014.416594
NODE_0000037	2014-06-02	2014.417808
AA000000-EM106|2014-06-02	2014-06-02	2014.417808
AA000000-EM110|2014-06-03	2014-06-03	2014.420548
NODE_0000050	2014-06-03	2014.419334
