#node	date	numeric date
NODE_0000002	2014-01-14	2014.038152
NODE_0000114	2014-04-13	2014.280683
NODE_0000115	2014-05-29	2014.407107
KU729217.2|2015-11-18	2015-11-18	2015.880822
BRA_2016_FC-DQ75D1-URI|2016-04-04	2016-04-04	2016.258197
NODE_0000116	2014-05-28	2014.405115
ZBRA105|2015-02-23	2015-02-23	2015.146575
NODE_0000117	2014-07-19	2014.545858
DOM_2016_MA-WGS16-020-SER|2016-06-30	2016-06-30	2016.495902
NODE_0000118	2015-01-17	2015.046271
NODE_0000007	2015-11-29	2015.910143
DOM_2016_BB-0433-SER|2016-06-13	2016-06-13	2016.449454
DOM_2016_MA-WGS16-031-SER|2016-08-17	2016-08-17	2016.627049
NODE_0000120	2015-02-04	2015.095145
NODE_0000129	2015-04-22	2015.304641
DOM_2016_BB-0091-SER|2016-04-07	2016-04-07	2016.266393
DOM_2016_MA-WGS16-013-SER|2016-06-15	2016-06-15	2016.454918
NODE_0000146	2015-06-15	2015.452575
USA_2016_FL-039-URI|2016-08-17	2016-08-17	2016.627049
NODE_0000147	2015-11-29	2015.910199
KU853012.1|2016-02-01	2016-02-01	2016.086066
KU853013.1|2016-02-01	2016-02-01	2016.086066
NODE_0000133	2015-04-14	2015.283717
DOM_2016_BB-0216-SER|2016-04-21	2016-04-21	2016.304645
NODE_0000134	2015-11-29	2015.911037
DOM_2016_BB-0180-SER|2016-04-18	2016-04-18	2016.296448
DOM_2016_BB-0180-URI|2016-04-18	2016-04-18	2016.296448
NODE_0000014	2015-02-04	2015.095145
NODE_0000123	2015-03-08	2015.182992
NODE_0000124	2015-11-27	2015.906734
DOM_2016_BB-0115-SER|2016-04-11	2016-04-11	2016.277322
DOM_2016_BB-0115-URI|2016-04-11	2016-04-11	2016.277322
NODE_0000017	2015-03-08	2015.182992
DOM_2016_BB-0436-PLA|2016-06-14	2016-06-14	2016.452186
DOM_2016_MA-WGS16-014-SER|2016-06-18	2016-06-18	2016.463115
NODE_0000021	2015-02-04	2015.095145
NODE_0000024	2015-02-23	2015.147277
NODE_0000141	2015-07-18	2015.542773
DOM_2016_MA-WGS16-011-SER|2016-06-06	2016-06-06	2016.430328
DOM_2016_MA-WGS16-024-SER|2016-07-07	2016-07-07	2016.515027
NODE_0000026	2015-02-25	2015.152252
NODE_0000137	2015-07-17	2015.541710
DOM_2016_BB-0183-SER|2016-04-18	2016-04-18	2016.296448
DOM_2016_BB-0269-SER|2016-04-27	2016-04-27	2016.321038
NODE_0000032	2015-02-25	2015.152252
NODE_0000128	2015-07-09	2015.520339
DOM_2016_BB-0071-SER|2016-04-05	2016-04-05	2016.260929
DOM_2016_BB-0071-URI|2016-04-05	2016-04-05	2016.260929
NODE_0000038	2015-02-25	2015.152252
NODE_0000040	2015-06-19	2015.465606
KX269878.1|2016-02-01	2016-02-01	2016.086066
NODE_0000043	2015-06-19	2015.465606
DOM_2016_BB-0428-PLA|2016-06-13	2016-06-13	2016.449454
DOM_2016_MA-WGS16-009-SER|2016-05-24	2016-05-24	2016.394809
NODE_0000044	2015-02-25	2015.152252
NODE_0000045	2015-02-25	2015.152252
DOM_2016_BB-0085-URI|2016-04-07	2016-04-07	2016.266393
JAM_2016_WI-JM6-SER|2016-06-13	2016-06-13	2016.449454
NODE_0000046	2015-02-25	2015.152252
NODE_0000145	2015-11-27	2015.905165
DOM_2016_BB-0076-SER|2016-04-05	2016-04-05	2016.260929
DOM_2016_BB-0076-URI|2016-04-05	2016-04-05	2016.260929
NODE_0000049	2015-08-19	2015.630461
JAM_2016_MA-WGS16-038-SER|2016-09-26	2016-09-26	2016.736339
NODE_0000142	2015-11-29	2015.910116
DOM_2016_MA-WGS16-036-SER|2016-09-22	2016-09-22	2016.725410
DOM_2016_MA-WGS16-040-SER|2016-10-06	2016-10-06	2016.763661
NODE_0000148	2015-02-19	2015.135184
NODE_0000150	2015-03-17	2015.205556
NODE_0000151	2015-08-20	2015.633270
DOM_2016_BB-0208-SER|2016-04-20	2016-04-20	2016.301913
DOM_2016_MA-WGS16-007-SER|2016-05-10	2016-05-10	2016.356557
NODE_0000152	2015-11-25	2015.900949
JAM_2016_MA-WGS16-039-SER|2016-09-28	2016-09-28	2016.741803
JAM_2016_MA-WGS16-041-SER|2016-10-12	2016-10-12	2016.780055
NODE_0000056	2015-02-19	2015.135184
NODE_0000058	2015-02-19	2015.135184
JAM_2016_MA-WGS16-025-SER|2016-07-10	2016-07-10	2016.523224
NODE_0000153	2015-09-23	2015.726443
USA_2016_FL-05-MOS|2016-09-09	2016-09-09	2016.689891
NODE_0000059	2015-09-23	2015.726443
USA_2016_FL-035-URI|2016-08-03	2016-08-03	2016.588798
NODE_0000155	2015-10-31	2015.832811
NODE_0000061	2015-11-30	2015.912380
USA_2016_FL-03-MOS|2016-08-23	2016-08-23	2016.643443
USA_2016_FL-032-URI|2016-08-05	2016-08-05	2016.594262
NODE_0000157	2015-11-29	2015.910469
USA_2016_FL-04-MOS|2016-09-04	2016-09-04	2016.676230
USA_2016_MA-WGS16-034-SER|2016-08-15	2016-08-15	2016.621585
NODE_0000159	2015-04-18	2015.295522
DOM_2016_BB-0059-SER|2016-04-04	2016-04-04	2016.258197
NODE_0000160	2015-06-09	2015.437303
USA_2016_FL-029-URI|2016-08-01	2016-08-01	2016.583333
NODE_0000161	2015-06-24	2015.477347
USA_2016_FL-028-SER|2016-08-01	2016-08-01	2016.583333
NODE_0000162	2015-07-06	2015.511271
NODE_0000165	2015-08-02	2015.585680
USA_2016_FL-030-URI|2016-08-02	2016-08-02	2016.586066
HTI_2016_MA-WGS16-022-SER|2016-07-05	2016-07-05	2016.509563
NODE_0000076	2015-07-06	2015.511271
NODE_0000166	2015-09-22	2015.725589
USA_2016_FL-06-MOS|2016-09-20	2016-09-20	2016.719945
USA_2016_FL-01-MOS|2016-08-22	2016-08-22	2016.640710
NODE_0000075	2015-07-06	2015.511271
USA_2016_FL-010-URI|2016-06-22	2016-06-22	2016.474044
NODE_0000167	2015-07-23	2015.558202
USA_2016_FL-022-URI|2016-07-22	2016-07-22	2016.556011
NODE_0000077	2015-07-23	2015.558202
NODE_0000078	2015-07-23	2015.558202
USA_2016_FL-02-MOS|2016-08-23	2016-08-23	2016.643443
USA_2016_FL-038-URI|2016-08-05	2016-08-05	2016.594262
NODE_0000082	2015-07-23	2015.558202
USA_2016_FL-021-URI|2016-07-19	2016-07-19	2016.547814
NODE_0000084	2015-07-23	2015.558202
USA_2016_FL-036-SER|2016-08-04	2016-08-04	2016.591530
USA_2016_FL-08-MOS|2016-10-05	2016-10-05	2016.760929
NODE_0000112	2014-01-14	2014.038152
NODE_0000113	2014-02-08	2014.105415
KU527068.1|2015	2015-01-01	2015.000000
KU926310.1|2016-01-29	2016-01-29	2016.077869
NODE_0000109	2014-02-08	2014.104517
NODE_0000093	2014-02-21	2014.142278
ZBRC321|2015-08-09	2015-08-09	2015.604110
NODE_0000111	2014-04-16	2014.288771
KX280026.1|2015	2015-01-01	2015.000000
ZBRX16|2016-04-25	2016-04-25	2016.315574
NODE_0000041	2014-03-04	2014.172300
NODE_0000047	2014-04-13	2014.280934
NODE_0000048	2014-06-28	2014.487843
ZBRX127|2016-03-10	2016-03-10	2016.189891
NODE_0000098	2014-06-28	2014.487843
DOM_2016_BB-0085-SER|2016-04-07	2016-04-07	2016.266393
BRA_2016_FC-5790-SER|2016-03-22	2016-03-22	2016.222678
NODE_0000050	2014-09-29	2014.743546
KX051563.1|2016-02-05	2016-02-05	2016.096995
NODE_0000051	2014-12-12	2014.946575
KU509998.3|2014-12-12	2014-12-12	2014.946575
NODE_0000052	2015-03-14	2015.198630
KU321639.1|2015-03-14	2015-03-14	2015.198630
ZBRC14|2016-01-15	2016-01-15	2016.039617
NODE_0000063	2014-03-20	2014.215974
KU729218.1|2015-06-02	2015-06-02	2015.417808
NODE_0000064	2014-10-08	2014.768945
KX101061.1|2015-05	2015-05-01	2015.330137
NODE_0000065	2014-11-25	2014.899982
KX101060.1|2015-05	2015-05-01	2015.330137
NODE_0000066	2015-01-17	2015.044393
KU940224.1|2015-08-01	2015-08-01	2015.582192
NODE_0000067	2015-01-17	2015.044393
KU940228.1|2015-07-01	2015-07-01	2015.497260
NODE_0000068	2015-01-27	2015.073122
