state	numMuts	posterior_for_Delphy	prior	likelihood_really_logG	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	apobec3.clock.rate	non_apobec3.clock.rate	coalescent.all	
0	1428	-268874	42260.9	-311135	7.5661	2015.85	147.096	3	0	0	0.001	-864.896	
100000	1189	-239992	42559.5	-282551	7.056	2016.36	123.193	16.9547	0.22265	0.00014134	1.40063e-05	-564.64	
200000	1099	-238459	42552.2	-281011	7.28757	2016.13	125.007	21.2527	0.267591	0.000136216	1.01552e-05	-571.712	
300000	1056	-237682	42567.9	-280249	7.0727	2016.34	120.189	20.6361	0.319853	0.000146994	1.06676e-05	-556.033	
400000	1039	-237373	42568.4	-279942	7.13321	2016.28	119.518	21.7349	0.312809	0.000147424	9.79011e-06	-555.499	
500000	1015	-236905	42584.9	-279489	6.76898	2016.64	110.557	19.1271	0.329368	0.000151963	9.79267e-06	-539.105	
600000	999	-236643	42587.8	-279231	6.70761	2016.71	108.541	18.5639	0.330767	0.000151736	1.13403e-05	-536.227	
700000	986	-236453	42591.9	-279045	6.82171	2016.59	109.117	17.0927	0.322236	0.000143714	9.45714e-06	-532.189	
800000	975	-236310	42583.6	-278894	6.86628	2016.55	111.98	20.2555	0.380406	0.000156158	9.00726e-06	-540.344	
900000	972	-236266	42582.6	-278848	6.56743	2016.85	112.213	24.0781	0.385388	0.00014457	8.55904e-06	-541.11	
1000000	968	-236254	42569.2	-278823	6.53182	2016.88	116.39	18.1439	0.299968	0.000134617	9.22028e-06	-554.851	
1100000	967	-236300	42557.4	-278857	6.98319	2016.43	122.964	22.868	0.351908	0.000132476	8.89891e-06	-566.402	
1200000	964	-236290	42551	-278841	7.08998	2016.32	127.998	30.3212	0.414193	0.000136477	7.61875e-06	-572.549	
1300000	964	-236333	42544.2	-278877	7.29015	2016.12	133.032	32.0197	0.400907	0.000117052	7.45772e-06	-579.264	
1400000	963	-236348	42528.6	-278877	7.50221	2015.91	135.437	21.2066	0.304607	0.000114469	6.96011e-06	-595.274	
1500000	963	-236368	42527.1	-278895	7.31486	2016.1	138.213	32.8922	0.394188	0.000114993	7.56358e-06	-596.364	
