Step	tdbl
0	1.942
1	1.906
2	1.534
3	1.502
4	1.914
5	1.709
6	1.691
7	1.867
8	1.793
9	1.935
10	2.055
11	1.982
12	1.549
13	1.851
14	2.225
15	1.914
16	1.635
17	2.172
18	1.762
19	1.838
20	1.792
21	1.918
22	1.679
23	1.586
24	1.741
25	1.862
26	1.693
27	1.595
28	1.904
29	2.144
30	2.008
31	2.626
32	1.764
33	2.046
34	1.855
35	1.961
36	2.026
37	1.804
38	2.220
39	1.639
40	1.908
41	2.072
42	1.733
43	2.017
44	2.027
45	2.511
46	2.342
47	2.390
48	2.211
49	1.634
50	1.480
51	1.582
52	1.794
53	1.671
54	2.020
55	2.141
56	1.706
57	1.484
58	1.378
59	1.687
60	1.687
61	2.014
62	1.947
63	1.933
64	2.197
65	1.646
66	2.030
67	1.513
68	1.734
69	2.006
70	2.372
71	1.745
72	1.647
73	1.778
74	1.608
75	2.136
76	1.944
77	1.966
78	1.767
79	1.952
80	1.898
81	1.902
82	1.829
83	2.346
84	1.890
85	2.415
86	1.742
87	1.637
88	1.938
89	1.701
90	1.779
91	1.843
92	2.154
93	1.552
94	1.523
95	1.666
96	1.646
97	1.695
98	1.597
99	1.721
100	1.761
101	1.715
102	2.023
103	2.063
104	1.770
105	1.766
106	1.626
107	1.555
108	1.500
109	1.499
110	1.818
111	1.917
112	1.979
113	1.893
114	1.957
115	1.628
116	1.913
117	1.852
118	2.061
119	1.737
120	2.187
121	2.340
122	1.685
123	1.787
124	1.653
125	1.808
126	1.681
127	1.655
128	1.711
129	2.100
130	1.691
131	1.746
132	2.209
133	1.956
134	1.855
135	1.865
136	1.549
137	1.610
138	1.570
139	1.692
140	1.863
141	1.795
142	1.663
143	1.675
144	1.873
145	2.041
146	1.567
147	1.879
148	2.099
149	1.676
150	1.901
151	2.144
152	1.589
153	1.973
154	2.115
155	2.168
156	1.836
157	1.739
158	1.706
159	1.718
160	1.783
161	1.794
162	1.805
163	1.858
164	2.067
165	2.038
166	2.162
167	1.821
168	1.969
169	1.608
170	1.809
171	2.006
172	2.122
173	1.545
174	1.851
175	1.788
176	1.655
177	1.690
178	1.833
179	1.769
180	1.989
181	1.614
182	1.760
183	1.674
184	1.945
185	1.616
186	1.875
187	1.930
188	1.452
189	2.216
190	1.770
191	1.738
192	1.641
193	1.904
194	1.780
195	1.714
196	2.026
197	1.994
198	1.749
199	2.131
200	1.775
201	2.223
202	1.738
203	1.841
204	2.035
205	1.925
206	1.742
207	1.833
208	1.498
209	1.726
210	1.893
211	1.938
212	2.248
213	2.065
214	2.399
215	1.772
216	2.071
217	1.666
218	1.644
219	2.081
220	2.075
221	2.004
222	1.877
223	1.851
224	1.877
225	2.420
226	1.873
227	1.967
228	2.318
229	1.710
230	1.899
231	1.780
232	1.683
233	1.566
234	1.887
235	1.724
236	1.559
237	1.779
238	2.035
239	2.046
240	2.261
241	1.711
242	1.689
243	2.143
244	1.812
245	1.888
