Step	tdbl
248	1.691
249	2.088
250	1.918
251	1.711
252	1.750
253	1.822
254	1.732
255	1.697
256	2.254
257	1.855
258	2.031
259	2.042
260	2.001
261	1.749
262	1.974
263	1.813
264	1.781
265	1.523
266	1.680
267	1.613
268	1.769
269	2.193
270	1.923
271	2.256
272	2.073
273	2.174
274	1.670
275	2.226
276	2.100
277	1.708
278	2.813
279	2.049
280	1.834
281	1.845
282	1.667
283	1.863
284	1.719
285	1.943
286	1.968
287	1.712
288	1.790
289	1.671
290	1.914
291	1.656
292	2.132
293	1.777
294	1.785
295	1.636
296	1.891
297	1.910
298	1.700
299	2.107
300	1.826
301	2.221
302	2.051
303	1.766
304	1.937
305	1.928
306	1.728
307	1.707
308	1.420
309	1.870
310	1.768
311	1.720
312	1.665
313	1.635
314	1.659
315	1.844
316	2.535
317	2.099
318	1.566
319	1.669
320	1.901
321	1.685
322	1.908
323	2.336
324	1.844
325	1.808
326	1.809
327	1.769
328	2.148
329	2.019
330	1.952
331	1.929
332	1.725
333	1.556
334	1.620
335	2.020
336	1.520
337	1.577
338	2.091
339	2.067
340	1.700
341	1.804
342	1.630
343	1.974
344	1.701
345	1.747
346	2.058
347	1.645
348	1.743
349	1.675
350	1.612
351	1.772
352	1.732
353	1.507
354	1.626
355	1.974
356	2.363
357	2.174
358	1.845
359	1.828
360	1.986
361	1.802
362	1.826
363	2.068
364	1.984
365	2.048
366	2.363
367	1.701
368	1.954
369	1.800
370	1.549
371	2.104
372	1.862
373	1.644
374	1.913
375	2.021
376	2.041
377	1.655
378	1.738
379	2.023
380	2.241
381	2.255
382	1.652
383	1.760
384	1.774
385	1.365
386	1.915
387	2.041
388	2.003
389	1.816
390	1.946
391	1.757
392	2.031
393	1.678
394	1.929
395	1.778
396	1.825
397	2.023
398	2.152
399	1.866
400	2.026
401	2.109
402	2.004
403	1.915
404	1.905
405	1.726
406	1.806
407	1.946
408	1.777
409	1.746
410	2.008
411	1.800
412	2.069
413	1.527
414	1.639
415	1.717
416	1.749
417	1.920
418	1.709
419	2.021
420	1.738
421	1.394
422	1.938
423	1.962
424	1.512
425	1.459
426	1.596
427	1.973
428	1.820
429	1.649
430	1.794
431	1.689
432	1.956
433	2.132
434	2.399
435	1.734
436	1.689
437	1.542
438	2.237
439	2.370
440	2.036
441	1.621
442	1.678
443	1.778
444	1.905
445	1.987
446	1.540
447	1.973
448	1.519
449	1.805
450	1.877
451	1.384
452	2.015
453	1.715
454	1.789
455	1.867
456	2.232
457	1.810
458	1.878
459	1.686
460	1.762
461	1.451
462	1.511
463	1.766
464	1.819
465	1.771
466	2.052
467	1.730
468	1.712
469	1.940
470	1.489
471	1.814
472	2.032
473	1.971
474	1.647
475	1.880
476	1.992
477	1.654
478	1.711
479	1.781
480	1.808
481	1.680
482	1.733
483	1.682
484	1.446
485	2.116
486	1.857
487	1.817
488	1.950
489	1.841
490	1.798
491	1.944
492	2.011
493	1.837
494	1.660
495	1.846
496	1.892
497	1.638
498	1.983
499	1.638
500	1.830
501	1.886
502	2.170
503	1.926
504	2.078
505	1.668
506	1.904
507	1.644
508	1.624
509	1.953
510	1.884
511	1.947
512	2.277
513	1.739
514	1.732
515	1.563
516	2.245
517	1.569
518	2.090
519	1.983
520	1.890
521	1.405
522	1.872
523	1.821
524	1.569
525	1.687
526	1.694
527	1.658
528	2.132
529	1.496
530	1.742
531	1.642
532	1.809
533	1.611
534	1.454
535	1.606
536	1.619
537	1.527
538	1.523
539	1.809
540	1.945
541	1.568
542	1.524
543	1.913
544	1.931
545	1.918
546	1.868
547	1.992
548	1.665
549	1.726
550	1.804
551	1.832
552	1.625
553	1.657
554	1.852
555	1.524
556	1.748
557	2.076
558	1.965
559	1.920
560	2.093
561	2.035
562	1.729
563	2.079
564	2.018
565	1.903
566	1.715
567	1.844
568	1.811
569	1.952
570	1.757
571	1.749
572	1.998
573	1.638
574	1.796
575	2.134
576	1.722
577	1.697
578	1.894
579	1.919
580	2.153
581	2.154
582	1.823
583	1.901
584	1.688
585	1.921
586	1.874
587	1.809
588	1.566
589	1.579
590	1.553
591	1.834
592	2.139
593	1.575
594	1.482
595	2.043
596	1.578
597	1.651
598	2.010
599	1.658
600	1.955
601	1.850
602	2.078
603	1.923
604	2.140
605	1.550
606	2.057
607	1.615
608	1.647
609	1.900
610	1.789
611	1.838
612	1.788
613	1.870
614	2.147
615	1.627
616	1.862
617	1.665
618	1.802
619	1.623
620	1.704
621	1.671
622	1.929
623	1.769
624	1.908
625	1.513
626	1.814
627	1.886
628	1.655
629	1.632
630	1.781
631	1.749
632	1.463
633	1.619
634	1.727
635	1.970
636	1.921
637	2.213
638	1.663
639	2.216
640	1.586
641	1.902
642	1.857
643	1.898
644	1.588
645	2.171
646	1.816
647	1.590
648	2.168
649	1.928
650	1.646
651	1.710
652	1.806
653	1.721
654	1.872
655	1.979
656	1.953
657	2.269
658	1.725
659	1.787
660	1.737
661	1.771
662	1.922
663	1.497
664	1.899
665	1.679
666	1.549
667	1.731
668	2.171
669	1.801
670	1.913
671	2.104
672	1.681
673	2.044
674	2.246
675	1.897
676	1.816
677	2.036
678	2.198
679	1.933
680	1.900
681	2.051
682	1.874
683	1.916
684	1.657
685	1.854
686	1.744
687	1.684
688	1.692
689	1.545
690	1.642
691	1.808
692	1.943
693	1.609
694	2.020
695	1.818
696	1.807
697	1.775
698	1.641
699	2.029
700	1.609
701	2.087
702	2.388
703	1.872
704	2.007
705	1.839
706	1.938
707	1.930
708	2.426
709	2.017
710	2.119
711	1.784
712	1.364
713	1.840
714	1.539
715	2.059
716	1.817
717	1.637
718	1.454
719	1.652
720	1.673
721	1.795
722	1.686
723	1.972
724	1.846
725	2.149
726	2.304
727	1.371
728	1.974
729	2.018
730	2.202
731	2.035
732	2.191
733	1.873
734	1.944
735	1.720
736	1.606
737	1.855
738	1.721
739	1.912
740	1.899
741	1.542
742	1.582
743	1.524
744	1.756
745	1.797
746	1.587
747	1.738
748	1.850
749	1.913
750	1.707
751	1.516
752	1.737
753	2.197
754	2.356
755	2.054
756	1.906
757	2.110
758	1.734
759	1.578
760	1.669
761	1.823
762	1.766
763	1.670
764	1.598
765	1.510
766	1.752
767	1.711
768	2.112
769	2.014
770	2.103
771	2.025
772	1.670
773	1.972
774	1.953
775	1.735
776	1.729
777	1.892
778	1.497
779	2.229
780	1.740
781	2.018
782	1.933
783	2.409
784	1.854
785	1.705
786	1.893
787	1.959
788	1.650
789	1.837
790	1.787
791	1.867
792	1.959
793	1.608
794	1.730
795	1.744
796	1.448
797	2.014
798	1.920
799	1.839
800	1.627
801	1.582
802	1.695
803	1.857
804	2.122
805	1.697
806	1.593
807	1.559
808	1.836
809	1.864
810	2.052
811	2.239
812	1.755
813	1.959
814	1.734
815	1.727
816	1.464
817	1.627
818	2.081
819	1.627
820	1.592
821	2.104
822	1.751
823	2.237
824	1.790
825	1.867
826	1.858
827	1.672
828	1.980
829	2.028
830	2.033
831	1.990
832	2.327
833	1.817
834	1.686
835	1.965
836	1.696
837	1.868
838	1.777
839	1.825
840	1.502
841	1.710
842	1.837
843	1.675
844	1.628
845	1.744
846	1.758
847	1.554
848	2.170
849	1.741
850	1.723
851	1.826
852	2.035
853	1.597
854	1.890
855	1.703
856	1.909
857	1.806
858	1.981
859	1.901
860	2.014
861	1.679
862	1.783
863	1.553
864	1.880
865	2.171
866	1.781
867	1.974
868	1.850
869	1.771
870	1.877
871	1.802
872	2.284
873	1.999
874	1.642
875	1.609
876	1.684
877	1.675
878	1.902
879	1.461
880	1.589
881	1.659
882	1.891
883	1.569
884	1.709
885	1.903
886	1.790
887	1.587
888	1.742
889	1.827
890	1.551
891	1.825
892	1.663
893	1.541
894	2.215
895	1.655
896	1.913
897	2.049
898	1.445
899	1.632
900	2.387
901	1.601
902	1.553
903	1.570
904	2.023
905	2.530
906	2.591
907	2.201
908	1.823
909	1.950
910	1.869
911	1.856
912	1.885
913	1.618
914	1.883
915	1.946
916	2.202
917	2.099
918	1.678
919	2.002
920	1.716
921	1.580
922	1.393
923	1.763
924	1.633
925	1.675
926	1.848
927	2.360
928	1.620
929	1.454
930	2.101
931	1.825
932	2.313
933	2.125
934	1.691
935	1.969
936	2.174
937	2.181
938	2.257
939	2.459
940	1.671
941	2.137
942	1.901
943	2.114
944	2.110
945	1.724
946	1.801
947	2.380
948	1.945
949	2.055
950	1.531
951	2.102
952	1.847
953	1.859
954	1.897
955	2.146
956	2.009
957	1.771
958	1.532
959	1.927
960	1.967
961	1.570
962	1.697
963	1.680
964	1.715
965	1.651
966	1.948
967	1.606
968	1.529
969	1.878
970	2.349
971	1.564
972	1.735
973	1.899
974	1.880
975	2.333
976	1.710
977	1.602
978	1.804
979	1.574
980	1.739
981	2.186
982	2.417
983	1.622
984	1.913
985	1.606
986	2.207
987	1.637
988	1.710
989	1.590
990	1.641
991	1.559
992	1.816
993	1.623
994	1.625
995	1.621
996	1.607
997	1.547
998	2.206
999	1.771
1000	2.027
1001	1.870
1002	1.951
1003	1.756
1004	1.515
1005	1.933
1006	1.647
1007	1.849
1008	1.931
1009	2.146
1010	1.880
1011	1.655
1012	1.605
1013	1.763
1014	1.691
1015	1.836
1016	1.992
1017	1.451
1018	1.853
1019	1.645
1020	1.955
1021	1.612
1022	2.058
1023	1.900
1024	1.689
1025	2.040
1026	1.435
1027	1.573
1028	1.893
1029	1.663
1030	1.714
1031	1.432
1032	1.808
1033	1.577
1034	1.757
1035	1.580
1036	1.943
1037	1.792
1038	1.730
1039	1.783
1040	2.168
1041	1.896
1042	2.083
1043	1.891
1044	1.761
1045	1.784
1046	1.979
1047	1.613
1048	2.299
1049	2.052
1050	1.680
1051	1.943
1052	1.981
1053	1.578
1054	1.657
1055	1.731
1056	1.826
1057	1.609
1058	2.022
1059	1.855
1060	1.806
1061	1.792
1062	1.981
1063	2.051
1064	1.868
1065	1.901
1066	1.738
1067	1.814
1068	1.847
1069	1.797
1070	1.709
1071	1.656
1072	1.952
1073	1.967
1074	1.555
1075	1.906
1076	1.727
1077	1.617
1078	2.192
1079	2.169
1080	2.124
1081	2.186
1082	1.753
1083	1.828
1084	1.634
1085	1.552
1086	1.945
1087	1.921
1088	1.514
1089	1.579
1090	2.020
1091	1.844
1092	1.801
1093	1.815
1094	1.874
1095	1.947
1096	1.977
1097	2.239
1098	1.517
1099	1.909
1100	1.799
1101	1.808
1102	1.968
1103	1.677
1104	1.808
1105	1.447
1106	1.959
1107	2.012
1108	1.822
1109	1.928
1110	1.362
1111	2.046
1112	1.695
1113	1.491
1114	1.595
1115	1.903
1116	1.538
1117	1.792
1118	1.720
1119	1.687
1120	2.085
1121	1.778
1122	1.944
1123	1.832
1124	2.155
1125	1.624
1126	1.638
1127	2.010
1128	1.863
1129	1.806
1130	1.957
1131	1.802
1132	1.908
1133	2.080
1134	1.957
1135	1.689
1136	1.944
1137	2.240
1138	1.957
1139	1.628
1140	2.429
1141	1.668
1142	1.748
1143	1.953
1144	1.758
1145	2.178
1146	1.998
1147	1.752
1148	2.035
1149	1.972
1150	1.926
1151	1.762
1152	2.330
1153	2.177
1154	1.579
1155	1.844
1156	1.997
1157	2.251
1158	1.879
1159	1.905
1160	1.699
1161	2.220
1162	1.898
1163	1.820
1164	2.027
1165	1.983
1166	2.028
1167	1.755
1168	1.650
1169	1.943
1170	2.118
1171	1.539
1172	2.274
1173	2.320
1174	1.702
1175	1.590
1176	1.844
1177	1.796
1178	1.692
1179	1.902
1180	1.779
1181	2.008
1182	2.024
1183	1.966
1184	1.609
1185	1.565
1186	1.628
1187	1.755
1188	1.584
1189	1.382
1190	1.567
1191	1.594
1192	1.745
1193	1.626
1194	1.777
1195	1.787
1196	1.705
1197	2.162
1198	1.865
1199	2.107
1200	2.051
1201	1.840
1202	1.932
1203	1.788
1204	2.364
1205	2.039
1206	2.185
1207	1.908
1208	2.120
1209	1.698
1210	1.693
1211	1.704
1212	1.973
1213	2.230
1214	1.802
1215	1.906
1216	2.157
1217	1.700
1218	1.885
1219	1.570
1220	2.192
1221	1.670
1222	2.095
1223	1.770
1224	1.873
1225	2.005
1226	1.927
1227	1.729
1228	1.645
1229	1.828
1230	1.967
1231	1.865
1232	2.027
1233	1.892
1234	1.799
1235	1.879
1236	2.320
1237	1.957
1238	2.052
1239	1.850
1240	1.656
1241	1.802
1242	1.795
1243	1.572
1244	1.398
1245	1.641
1246	1.961
1247	1.905
1248	1.884
1249	2.119
1250	2.062
1251	1.875
1252	1.862
1253	1.970
1254	1.942
1255	1.990
1256	1.783
1257	1.645
1258	1.438
1259	1.948
1260	1.462
1261	1.944
1262	1.849
1263	1.675
1264	1.822
1265	1.358
1266	1.757
1267	1.885
1268	1.693
1269	1.795
1270	1.595
1271	1.534
1272	1.970
1273	1.945
1274	1.959
1275	2.015
1276	2.000
1277	1.877
1278	1.941
1279	1.662
1280	1.806
1281	1.766
1282	1.627
1283	1.772
1284	1.559
1285	1.809
1286	1.728
1287	1.958
1288	2.075
1289	1.746
1290	1.959
1291	1.707
1292	1.808
1293	1.627
1294	1.740
1295	1.702
1296	1.930
1297	1.683
1298	1.700
1299	1.823
1300	2.128
1301	1.696
1302	1.555
1303	1.913
1304	2.294
1305	1.934
1306	1.908
1307	1.714
1308	1.522
1309	1.734
1310	1.748
1311	2.023
1312	1.855
1313	1.952
1314	1.484
1315	1.453
1316	1.671
1317	1.909
1318	1.658
1319	2.067
1320	1.778
1321	1.869
1322	1.833
1323	1.624
1324	1.646
1325	1.682
1326	1.837
1327	1.732
1328	1.543
1329	1.579
1330	1.727
1331	1.907
1332	1.933
1333	1.721
1334	1.913
1335	1.758
1336	1.753
1337	1.710
1338	1.625
1339	1.696
1340	1.961
1341	2.101
1342	1.891
1343	1.659
1344	2.017
1345	1.760
1346	1.670
1347	1.707
1348	1.774
1349	1.651
1350	1.821
1351	1.825
1352	1.585
1353	2.055
1354	1.544
1355	2.316
1356	1.920
1357	2.229
1358	1.875
1359	1.737
1360	1.946
1361	1.658
1362	2.231
1363	1.937
1364	1.545
1365	1.956
1366	1.731
1367	1.633
1368	1.916
1369	1.966
1370	2.289
1371	1.581
1372	1.754
1373	1.796
1374	1.550
1375	1.728
1376	2.028
1377	1.850
1378	1.819
1379	1.653
1380	1.905
1381	1.768
1382	1.685
1383	1.624
1384	1.865
1385	1.792
1386	1.846
1387	1.759
1388	1.867
1389	1.804
1390	1.322
1391	1.780
1392	2.037
1393	1.523
1394	1.883
1395	1.772
1396	1.721
1397	1.602
1398	2.032
1399	1.907
1400	1.726
1401	1.610
1402	2.174
1403	1.493
1404	1.648
1405	1.823
1406	2.133
1407	1.835
1408	1.513
1409	2.028
1410	1.586
1411	1.848
1412	1.474
1413	1.551
1414	1.937
1415	1.742
1416	1.698
1417	1.555
1418	1.671
1419	1.769
1420	1.822
1421	1.794
1422	2.437
1423	1.861
1424	2.280
1425	1.926
1426	1.928
1427	1.728
1428	1.518
1429	1.733
1430	1.884
1431	2.258
1432	1.796
1433	1.783
1434	1.716
1435	1.498
1436	1.677
1437	1.542
1438	2.122
1439	2.114
1440	2.303
1441	1.783
1442	1.753
1443	2.420
1444	1.965
1445	2.092
1446	1.526
1447	1.937
1448	2.002
1449	2.133
1450	1.515
1451	1.761
1452	1.977
1453	1.743
1454	2.095
1455	1.926
1456	2.161
1457	1.636
1458	1.897
1459	1.879
1460	1.556
1461	1.804
1462	1.906
1463	2.027
1464	1.852
1465	1.665
1466	2.012
1467	1.543
1468	1.465
1469	1.548
1470	1.829
1471	2.113
1472	1.793
1473	1.885
1474	1.904
1475	1.736
1476	1.972
1477	1.963
1478	1.687
1479	1.860
1480	1.976
1481	1.933
1482	2.316
1483	2.023
1484	2.096
1485	1.746
1486	1.571
1487	1.464
1488	1.805
1489	1.928
1490	1.888
1491	2.217
1492	1.806
1493	2.020
1494	1.799
1495	1.493
1496	1.789
1497	1.755
1498	1.823
1499	2.462
1500	2.086
1501	1.927
1502	1.880
1503	1.715
1504	1.798
1505	1.661
1506	1.463
1507	2.015
1508	1.836
1509	1.676
1510	2.030
1511	1.735
1512	1.754
1513	1.819
1514	1.619
1515	1.493
1516	1.708
1517	1.593
1518	1.479
1519	1.805
1520	2.025
1521	1.707
1522	1.716
1523	1.637
1524	1.511
1525	1.410
1526	1.771
1527	1.843
1528	1.778
1529	1.845
1530	2.037
1531	2.307
1532	2.099
1533	1.662
1534	1.728
1535	1.494
1536	1.603
1537	1.594
1538	1.896
1539	2.058
1540	1.887
1541	2.598
1542	1.715
1543	1.615
1544	2.252
1545	2.023
1546	2.325
1547	2.576
1548	2.154
1549	1.753
1550	1.850
1551	2.197
1552	1.817
1553	2.113
1554	2.114
1555	1.916
1556	1.974
1557	1.849
1558	1.761
1559	1.691
1560	1.597
1561	2.241
1562	1.818
1563	2.006
1564	1.908
1565	1.761
1566	1.711
1567	1.701
1568	1.925
1569	2.205
1570	1.764
1571	1.865
1572	1.544
1573	1.683
1574	1.753
1575	1.935
1576	2.190
1577	2.164
1578	1.863
1579	2.013
1580	1.975
1581	1.596
1582	1.557
1583	1.928
1584	1.666
1585	1.728
1586	1.710
1587	1.776
1588	1.760
1589	1.885
1590	1.855
1591	1.915
1592	1.836
1593	1.649
1594	1.887
1595	2.126
1596	1.978
1597	1.970
1598	1.790
1599	1.586
1600	1.510
1601	1.687
1602	2.279
1603	2.204
1604	1.920
1605	1.996
1606	1.837
1607	1.933
1608	2.141
1609	1.713
1610	1.980
1611	1.628
1612	1.658
1613	1.769
1614	1.680
1615	1.609
1616	1.748
1617	1.658
1618	1.800
1619	1.429
1620	2.530
1621	1.433
1622	1.692
1623	2.072
1624	1.963
1625	1.742
1626	1.868
1627	1.742
1628	1.857
1629	1.527
1630	1.730
1631	1.625
1632	1.772
1633	1.497
1634	1.878
1635	1.824
1636	1.600
1637	1.732
1638	1.917
1639	1.622
1640	2.210
1641	1.986
1642	1.927
1643	2.189
1644	1.994
1645	1.429
1646	1.547
1647	1.541
1648	2.099
1649	1.767
1650	2.165
1651	2.044
1652	1.737
1653	1.827
1654	1.645
1655	1.508
1656	1.609
1657	1.719
1658	1.808
1659	2.089
1660	1.959
1661	1.636
1662	1.788
1663	1.898
1664	2.026
1665	1.729
1666	1.718
1667	1.826
1668	1.899
1669	1.936
1670	2.093
1671	2.149
1672	1.639
1673	1.799
1674	1.710
1675	1.489
1676	1.636
1677	1.499
1678	1.894
1679	1.970
1680	1.820
1681	1.929
1682	1.911
1683	1.520
1684	1.418
1685	1.531
1686	1.758
1687	1.518
1688	1.819
1689	1.695
1690	1.806
1691	1.696
1692	1.466
1693	1.781
1694	1.905
1695	1.630
1696	1.938
1697	1.657
1698	2.075
1699	1.743
1700	2.081
1701	1.786
1702	1.847
1703	1.806
1704	1.874
1705	1.609
1706	1.645
1707	1.754
1708	1.741
1709	1.996
1710	1.938
1711	1.654
1712	1.745
1713	1.725
1714	1.727
1715	1.948
1716	1.850
1717	1.732
1718	1.586
1719	1.836
1720	1.817
1721	1.906
1722	1.847
1723	1.571
1724	1.817
1725	1.703
1726	1.789
1727	1.832
1728	1.927
1729	1.880
1730	1.796
1731	2.268
1732	1.738
1733	2.426
1734	1.995
1735	1.806
1736	2.651
1737	1.733
1738	1.615
1739	1.815
1740	1.798
1741	1.671
1742	2.074
1743	2.008
1744	2.242
1745	1.504
1746	1.738
1747	1.552
1748	1.949
1749	1.765
1750	1.803
1751	1.622
1752	1.652
1753	1.828
1754	1.881
1755	1.781
1756	2.066
1757	1.823
1758	1.679
1759	1.907
1760	1.603
1761	1.763
1762	1.688
1763	1.947
1764	2.350
1765	2.020
1766	2.057
1767	1.917
1768	1.669
1769	1.862
1770	1.694
1771	1.768
1772	1.892
1773	1.615
1774	1.983
1775	1.858
1776	2.078
1777	1.655
1778	1.486
1779	1.624
1780	1.538
1781	1.977
1782	1.822
1783	2.871
1784	1.920
1785	1.681
1786	2.129
1787	1.776
1788	1.592
1789	1.801
1790	1.679
1791	1.771
1792	1.826
1793	1.759
1794	1.737
1795	1.561
1796	1.712
1797	1.677
1798	1.580
1799	1.552
1800	1.986
1801	1.687
1802	1.998
1803	1.975
1804	1.600
1805	1.890
1806	2.284
1807	2.262
1808	1.671
1809	1.630
1810	1.716
1811	1.895
1812	1.975
1813	1.987
1814	1.722
1815	1.798
1816	1.562
1817	1.520
1818	1.670
1819	1.944
1820	1.881
1821	1.574
1822	1.777
1823	1.882
1824	1.704
1825	1.903
1826	1.510
1827	1.671
1828	1.679
1829	1.646
1830	1.785
1831	1.648
1832	1.723
1833	1.533
1834	2.261
1835	2.096
1836	2.063
1837	2.213
1838	1.811
1839	1.898
1840	2.127
1841	1.435
1842	2.011
1843	1.713
1844	1.984
1845	1.842
1846	1.943
1847	1.697
1848	1.667
1849	2.214
1850	1.752
1851	1.702
1852	1.868
1853	2.003
1854	1.781
1855	1.837
1856	1.521
1857	2.137
1858	1.847
1859	2.203
1860	2.015
1861	1.921
1862	2.340
1863	1.837
1864	1.605
1865	1.705
1866	1.745
1867	1.780
1868	1.596
1869	2.169
1870	1.754
1871	2.045
1872	2.025
1873	2.179
1874	2.057
1875	1.991
1876	1.874
1877	1.953
1878	1.703
1879	1.939
1880	1.687
1881	1.639
1882	1.916
1883	1.532
1884	1.797
1885	1.658
1886	2.143
1887	1.790
1888	2.326
1889	1.628
1890	1.706
1891	1.645
1892	1.573
1893	1.990
1894	2.215
1895	1.811
1896	1.707
1897	1.718
1898	2.079
1899	1.933
1900	1.664
1901	1.954
1902	1.554
1903	1.944
1904	1.837
1905	1.535
1906	2.010
1907	1.562
1908	1.805
1909	2.064
1910	1.952
1911	2.283
1912	1.640
1913	1.695
1914	2.026
1915	1.612
1916	1.648
1917	1.782
1918	2.061
1919	1.592
1920	1.737
1921	2.014
1922	1.773
1923	1.639
1924	1.757
1925	1.942
1926	2.015
1927	1.773
1928	1.604
1929	1.789
1930	1.791
1931	1.560
1932	1.668
1933	1.822
1934	1.666
1935	1.706
1936	1.998
1937	2.000
1938	1.863
1939	1.763
1940	1.443
1941	1.537
1942	1.695
1943	1.598
1944	1.726
1945	1.969
1946	1.674
1947	1.900
1948	1.680
1949	1.652
1950	1.770
1951	1.795
1952	1.835
1953	1.454
1954	1.794
1955	1.737
1956	2.036
1957	1.553
1958	1.895
1959	2.029
1960	2.234
1961	1.646
1962	1.946
1963	1.591
1964	1.670
1965	1.785
1966	1.641
1967	1.560
1968	2.304
1969	2.259
1970	1.874
1971	2.093
1972	2.107
1973	2.254
1974	1.398
1975	1.753
1976	1.708
1977	1.780
1978	1.704
1979	2.061
1980	1.551
1981	1.681
1982	1.835
1983	1.659
1984	1.401
1985	1.716
1986	1.784
1987	1.489
1988	1.616
1989	1.667
1990	1.865
1991	1.726
1992	2.049
1993	1.656
1994	1.770
1995	1.980
1996	1.847
1997	1.952
1998	2.374
1999	1.926
2000	1.703
2001	1.832
2002	1.950
2003	1.937
2004	2.425
2005	1.875
2006	1.955
2007	1.670
2008	2.060
2009	1.498
2010	1.809
2011	2.052
2012	2.386
2013	1.559
2014	1.446
2015	1.429
2016	1.631
2017	1.577
2018	1.729
2019	1.409
2020	1.797
2021	1.719
2022	2.008
2023	1.850
2024	1.754
2025	1.883
2026	1.771
2027	1.694
2028	1.762
2029	1.766
2030	1.570
2031	2.013
2032	1.817
2033	2.152
2034	2.066
2035	1.679
2036	1.992
2037	2.128
2038	1.680
2039	1.812
2040	1.788
2041	1.678
2042	1.827
2043	2.416
2044	2.409
2045	1.977
2046	2.032
2047	1.679
2048	1.824
2049	1.777
2050	2.311
2051	2.056
2052	1.959
2053	2.260
2054	1.835
2055	1.593
2056	1.694
2057	1.573
2058	1.803
2059	2.095
2060	1.849
2061	1.958
2062	2.014
2063	1.500
2064	1.773
2065	1.655
2066	2.038
2067	2.192
2068	2.020
2069	1.852
2070	2.084
2071	2.064
2072	1.803
2073	2.077
2074	1.965
2075	2.199
2076	1.818
2077	1.885
2078	2.188
2079	1.845
2080	2.257
2081	1.816
2082	1.654
2083	2.184
2084	1.373
2085	1.490
2086	2.025
2087	1.942
2088	1.642
2089	2.421
2090	1.885
2091	1.861
2092	1.717
2093	1.736
2094	1.676
2095	1.745
2096	1.974
2097	1.709
2098	2.092
2099	1.539
2100	1.994
2101	2.094
2102	2.418
2103	1.835
2104	1.570
2105	1.544
2106	1.842
2107	1.944
2108	1.715
2109	2.112
2110	1.517
2111	1.810
2112	1.661
2113	2.158
2114	1.437
2115	1.771
2116	1.807
2117	1.292
2118	1.786
2119	1.968
2120	1.658
2121	1.741
2122	1.589
2123	2.052
2124	1.882
2125	1.719
2126	1.993
2127	1.793
2128	1.620
2129	1.541
2130	1.681
2131	1.622
2132	1.780
2133	1.797
2134	1.654
2135	1.756
2136	1.737
2137	1.753
2138	1.598
2139	2.063
