Step	tdbl
0	1.944
1	1.788
2	2.874
3	2.133
4	1.950
5	1.996
6	1.855
7	1.963
8	2.009
9	1.910
10	1.940
11	1.849
12	1.828
13	1.922
14	1.665
15	1.570
16	1.664
17	1.458
18	2.165
19	1.781
20	1.843
21	1.519
22	1.627
23	1.606
24	2.081
25	1.798
26	1.721
27	1.616
28	2.214
29	1.743
30	1.548
31	2.212
32	1.725
33	1.994
34	1.970
35	1.694
36	1.815
37	1.763
38	1.918
39	1.529
40	2.004
41	1.754
42	1.903
43	2.672
44	2.241
45	1.724
46	1.730
47	1.969
48	1.725
49	1.513
50	2.220
51	1.756
52	1.688
53	1.892
54	2.048
55	2.016
56	1.502
57	1.496
58	1.664
59	2.199
60	2.076
61	1.803
62	2.136
63	2.137
64	2.071
65	1.727
66	2.026
67	1.728
68	1.780
69	1.707
70	1.674
71	1.693
72	1.910
73	1.873
74	2.087
75	2.207
76	1.942
77	1.820
78	1.786
79	1.401
80	1.759
81	1.765
82	1.785
83	1.714
84	1.724
85	2.096
86	1.781
87	1.999
88	1.671
89	1.676
90	1.548
91	1.703
92	1.679
93	1.816
94	1.819
95	1.675
96	1.703
97	1.631
98	1.911
99	1.399
100	2.135
101	1.817
102	1.549
103	1.819
104	1.854
105	1.794
106	1.863
107	1.711
108	1.597
109	1.736
110	1.567
111	1.480
112	1.681
113	1.502
114	1.728
115	1.796
116	1.590
117	1.757
118	1.692
119	1.821
120	1.733
121	1.430
122	1.785
123	1.949
124	1.793
125	2.216
126	2.031
127	2.085
128	1.636
129	1.438
130	1.736
131	1.391
132	1.712
133	2.052
134	1.655
135	1.653
136	1.816
137	1.406
138	1.828
139	1.845
140	2.263
141	2.327
142	1.777
143	1.787
144	2.437
145	2.115
146	1.621
147	1.980
148	1.779
149	1.774
150	1.749
151	1.673
152	1.674
153	1.524
154	1.590
155	1.551
156	1.755
157	1.692
158	1.876
159	1.759
160	1.899
161	2.272
162	2.214
163	1.892
164	1.764
165	1.659
166	1.835
167	1.886
168	1.963
169	2.062
170	2.126
171	1.680
172	1.702
173	1.831
174	1.907
175	1.840
176	2.121
177	1.634
178	1.700
179	1.813
180	1.941
181	1.721
182	1.846
183	1.698
184	1.765
185	1.778
186	2.559
187	1.984
188	2.231
189	1.924
190	1.763
191	1.812
192	1.602
193	1.652
194	2.183
195	1.733
196	1.871
197	1.865
198	1.396
199	1.741
200	1.968
201	1.921
202	1.722
203	1.969
204	1.663
205	1.770
206	1.598
207	1.529
208	2.035
209	1.837
210	1.985
211	1.572
212	1.916
213	2.704
214	2.006
215	1.784
216	1.998
217	1.511
218	1.919
219	1.621
220	2.104
221	1.780
222	2.004
223	1.973
224	1.470
225	1.677
226	1.402
227	1.705
228	1.764
229	2.157
230	1.532
231	1.835
232	1.615
233	1.920
234	1.721
235	1.686
236	1.615
237	2.173
238	1.762
239	1.853
240	1.967
241	1.765
242	1.766
243	1.769
244	1.581
245	1.779
246	1.564
247	1.569
