state	numMuts	posterior_for_Delphy	prior	likelihood_really_logG	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	apobec3.clock.rate	non_apobec3.clock.rate	coalescent.all	
0	450	-233300	43840	-277140	5.61719	2017.01	39.3578	3	0	0	0.001	-88.2566	
20000	421	-226243	43837.8	-270081	5.57118	2017.01	41.6121	9.74506	0.292009	0.000167836	1.14366e-05	-89.2171	
40000	398	-225918	43827.8	-269746	6.52483	2016.07	46.9515	38.0448	0.633038	0.000141016	9.64471e-06	-97.8055	
60000	387	-225701	43836.3	-269537	6.83355	2015.82	43.781	27.0151	0.456614	0.000156685	1.0126e-05	-89.664	
80000	381	-225615	43834.7	-269449	6.88968	2015.72	45.4566	22.5096	0.492668	0.000162152	7.6981e-06	-91.5156	
100000	378	-225533	43838.8	-269372	6.13523	2016.51	42.9603	20.3464	0.470071	0.000162156	6.00481e-06	-87.5326	
120000	372	-225439	43836.3	-269276	6.40127	2016.21	43.9343	14.1215	0.340068	0.000142182	6.75919e-06	-90.3332	
140000	368	-225414	43828.2	-269242	6.61511	2016.01	47.363	16.4537	0.419086	0.000145527	6.05126e-06	-98.3144	
160000	367	-225375	43832.8	-269208	6.52498	2016.11	45.0148	18.0929	0.407348	0.000150568	3.59147e-06	-93.5596	
180000	367	-225403	43825.9	-269229	6.26422	2016.33	48.848	20.5898	0.36957	0.000133645	5.68685e-06	-100.34	
200000	363	-225319	43831.6	-269151	6.4218	2016.24	46.4632	21.7887	0.445495	0.00013669	5.00802e-06	-94.5875	
220000	362	-225333	43824.8	-269158	6.27858	2016.37	49.1488	33.7938	0.503492	0.000137832	7.47191e-06	-100.997	
240000	362	-225312	43830.6	-269143	6.31619	2016.28	47.0817	15.91	0.379007	0.000136778	8.35299e-06	-95.9293	
260000	361	-225306	43827.9	-269134	6.36866	2016.24	47.7937	44.0748	0.54859	0.000120662	7.06252e-06	-97.5754	
280000	361	-225300	43827.4	-269128	6.14071	2016.5	47.0622	42.304	0.544014	0.000125746	7.00286e-06	-98.1602	
300000	361	-225277	43832.2	-269109	6.01591	2016.61	44.8248	10.5326	0.290545	0.000143758	5.46734e-06	-94.7989	
320000	361	-225290	43829.9	-269120	6.26767	2016.37	45.9567	23.5421	0.371744	0.000131214	5.0537e-06	-96.222	
340000	361	-225292	43830.2	-269122	6.74708	2015.91	46.5323	18.0969	0.324137	0.000132605	6.3561e-06	-96.213	
360000	361	-225318	43825.2	-269143	6.54225	2016.1	49.3449	5.79381	0.113709	0.000134251	6.14675e-06	-102.357	
380000	361	-225339	43822.3	-269161	6.7508	2015.86	51.7892	18.1747	0.293891	0.000118264	5.25275e-06	-104.126	
400000	361	-225314	43825.4	-269139	6.31628	2016.3	48.7902	19.9194	0.320248	0.000132368	5.47196e-06	-100.869	
420000	361	-225288	43829.5	-269118	6.20815	2016.44	45.9153	37.9821	0.481366	0.000134783	5.74349e-06	-96.186	
440000	361	-225304	43825.7	-269130	6.09288	2016.55	47.5107	10.0431	0.151097	0.000130576	6.71755e-06	-101.265	
460000	361	-225327	43825	-269152	6.7454	2015.92	50.4792	26.8652	0.402089	0.000123271	5.87421e-06	-101.051	
480000	361	-225329	43824.6	-269153	6.87195	2015.78	50.3856	26.9902	0.379525	0.000112784	5.54806e-06	-101.428	
500000	361	-225313	43827	-269140	6.41491	2016.22	48.6855	17.4163	0.34646	0.000118428	6.07005e-06	-99.4098	
520000	361	-225310	43826.6	-269137	6.46181	2016.13	48.306	35.4291	0.470803	0.000132224	7.39491e-06	-99.1357	
540000	361	-225305	43827.9	-269133	6.41856	2016.24	47.9018	42.3068	0.575054	0.00013744	5.47727e-06	-97.6437	
560000	361	-225298	43827.3	-269125	6.17989	2016.42	46.8631	35.5231	0.526108	0.000136043	6.98316e-06	-98.4502	
580000	361	-225285	43828.7	-269113	6.00261	2016.6	45.3813	45.6752	0.5566	0.000147164	6.71976e-06	-96.762	
600000	361	-225274	43832.8	-269107	6.41286	2016.24	44.5643	44.0099	0.605466	0.000153924	5.88479e-06	-92.7592	
620000	361	-225302	43826.7	-269129	6.1946	2016.43	47.3909	78.3986	0.711855	0.000139491	6.92012e-06	-98.2285	
640000	361	-225281	43829.7	-269110	5.69206	2016.9	44.861	67.0608	0.681416	0.000150677	5.27444e-06	-95.3326	
660000	361	-225298	43828	-269126	5.86716	2016.74	46.4294	25.1702	0.440941	0.00014598	3.92826e-06	-98.0939	
680000	355	-225207	43830.3	-269037	6.15601	2016.51	46.2023	18.9311	0.364839	0.000122183	5.70437e-06	-96.0269	
700000	350	-225155	43825.9	-268981	6.29686	2016.35	48.3464	27.296	0.415912	0.000135323	5.52616e-06	-100.103	
720000	348	-225113	43829.8	-268942	6.18362	2016.46	46.9701	17.448	0.368821	0.000138725	6.30396e-06	-96.6896	
740000	345	-225056	43833	-268889	6.74569	2015.91	45.5414	10.062	0.252399	0.000136096	5.80199e-06	-93.983	
760000	345	-225083	43827	-268910	6.6038	2016.01	48.4624	9.384	0.173577	0.000125646	5.7492e-06	-100.034	
780000	345	-225088	43825.8	-268914	6.35595	2016.29	48.9369	24.9357	0.352064	0.000121414	6.55799e-06	-100.297	
800000	345	-225072	43831.2	-268903	6.74849	2015.9	47.3913	25.5716	0.468988	0.000121555	5.92072e-06	-94.8814	
820000	344	-225027	43834.3	-268861	6.06485	2016.56	43.499	67.775	0.671815	0.00014097	5.1182e-06	-90.7757	
840000	343	-225043	43829.3	-268872	6.55185	2016.03	47.1206	29.5146	0.43718	0.000130778	6.02955e-06	-96.62	
860000	343	-225038	43829.6	-268868	6.66723	2015.99	46.091	42.1427	0.505573	0.000123609	4.57391e-06	-95.9554	
880000	343	-225018	43834.9	-268853	6.12125	2016.52	44.4295	27.9001	0.53684	0.000129014	6.16401e-06	-91.0253	
900000	343	-225006	43836	-268842	5.83055	2016.82	42.9472	16.9683	0.394496	0.000139478	8.16959e-06	-90.4757	
920000	343	-225021	43831.5	-268853	5.99536	2016.66	44.5053	35.6983	0.5453	0.000137415	6.78333e-06	-94.272	
940000	343	-225020	43833.8	-268854	6.2853	2016.34	44.3917	13.0613	0.33693	0.000130719	4.94711e-06	-92.9	
960000	343	-225003	43836.3	-268840	6.22775	2016.44	42.7881	12.2307	0.277996	0.000136012	7.03453e-06	-90.5535	
980000	343	-225070	43821.8	-268892	6.34917	2016.24	49.1381	14.5231	0.188514	0.000126666	5.34817e-06	-104.825	
1000000	343	-225045	43830.1	-268875	6.52916	2016.11	47.2985	10.958	0.272834	0.000125412	7.64337e-06	-96.8076	
1020000	343	-225026	43833.8	-268859	6.58254	2016.07	45.3346	10.1616	0.25377	0.00013862	5.96915e-06	-93.1482	
