state	numMuts	posterior_for_Delphy	prior	likelihood_really_logG	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	apobec3.clock.rate	non_apobec3.clock.rate	coalescent.all	
0	1431	-267477	42309.9	-309787	7.52661	2015.89	139.729	3	0	0	0.001	-815.919	
100000	1180	-239820	42563	-282383	7.61487	2015.8	121.758	21.4816	0.312617	0.00015154	1.56069e-05	-560.876	
200000	1091	-238237	42571.1	-280808	6.94777	2016.47	117.484	18.2597	0.274317	0.00014655	1.13115e-05	-552.911	
300000	1056	-237668	42566.5	-280234	7.26762	2016.15	118.959	18.4643	0.29545	0.00014962	9.6483e-06	-557.529	
400000	1036	-237362	42558.4	-279921	6.76969	2016.64	122.466	22.1876	0.311746	0.000143407	9.82547e-06	-565.401	
500000	1012	-237044	42549.8	-279594	7.16095	2016.25	129.691	31.5633	0.41033	0.000134677	7.02351e-06	-573.701	
600000	999	-236877	42543.6	-279421	7.37608	2016.04	133.293	24.5236	0.366604	0.000129501	7.81202e-06	-580.092	
700000	990	-236761	42536.9	-279298	7.52989	2015.88	135.103	24.5575	0.306206	0.0001188	7.57693e-06	-586.859	
800000	976	-236527	42541.6	-279069	8.0126	2015.4	132.852	22.9423	0.303567	0.00012492	7.9724e-06	-582.234	
900000	972	-236427	42549.7	-278977	7.47957	2015.93	129.334	24.0588	0.361553	0.000126263	8.1101e-06	-574.039	
1000000	966	-236301	42554.7	-278856	7.53972	2015.87	126.959	20.4262	0.308634	0.00013189	8.48021e-06	-569.174	
1100000	964	-236251	42558.3	-278809	7.99939	2015.41	125.735	27.3605	0.360895	0.000129905	8.55124e-06	-565.285	
1200000	960	-236158	42559.6	-278717	7.27337	2016.14	122.541	22.6046	0.335976	0.000141708	9.38003e-06	-564.23	
1300000	960	-236178	42561.5	-278739	7.62244	2015.79	125.597	24.6691	0.425866	0.000127336	6.64025e-06	-562.21	
1400000	959	-236120	42564.2	-278684	7.1393	2016.27	121.209	23.5651	0.365504	0.00013314	7.83781e-06	-559.554	
1500000	959	-236141	42561	-278702	7.30377	2016.11	123.49	28.4082	0.393205	0.000136743	8.11643e-06	-562.54	
1600000	955	-236047	42561.3	-278608	7.79086	2015.62	121.041	21.6924	0.33781	0.000134005	7.75535e-06	-562.507	
1700000	955	-236086	42558.2	-278645	7.65651	2015.76	125.787	22.0083	0.350448	0.000127733	7.48335e-06	-565.592	
1800000	955	-236175	42540.1	-278716	8.01378	2015.4	134.692	23.9579	0.324048	0.00011575	7.31951e-06	-583.703	
1900000	953	-236133	42534.7	-278668	7.52713	2015.89	134.066	27.923	0.365173	0.000121239	6.75026e-06	-588.886	
2000000	951	-236094	42537.3	-278631	7.23664	2016.18	134.006	30.1047	0.363822	0.000115279	6.47093e-06	-586.244	
2100000	953	-236142	42537.1	-278679	7.68501	2015.73	136.532	29.0823	0.384461	0.000127951	7.80853e-06	-586.506	
2200000	951	-236046	42550	-278596	7.83685	2015.58	129.297	20.7059	0.287104	0.000129347	6.75236e-06	-573.925	
2300000	952	-236044	42550.5	-278595	8.06349	2015.35	127.222	26.6985	0.335778	0.000129814	6.88912e-06	-573.11	
2400000	951	-236027	42553.8	-278581	8.14582	2015.27	127.228	26.0172	0.383633	0.000132174	7.03856e-06	-569.859	
2500000	952	-236055	42552.1	-278607	8.40366	2015.01	128.599	29.0414	0.402691	0.000129962	6.0437e-06	-571.508	
2600000	952	-236094	42542.3	-278636	7.85844	2015.56	132.994	21.2689	0.290805	0.000122341	7.08797e-06	-581.606	
2700000	951	-236003	42558.6	-278562	7.42868	2015.99	124.592	22.1959	0.338692	0.000137816	6.7735e-06	-565.219	
2800000	951	-235997	42558.8	-278556	7.30817	2016.11	123.962	22.218	0.354158	0.000134751	7.11889e-06	-564.998	
2900000	951	-236011	42561.3	-278572	7.37837	2016.04	125.381	23.1266	0.324334	0.000136354	6.94967e-06	-562.501	
3000000	951	-236062	42548.2	-278610	7.54989	2015.86	131.083	21.1665	0.311568	0.000120541	6.25923e-06	-575.717	
