state	numMuts	posterior_for_Delphy	prior	likelihood_really_logG	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	apobec3.clock.rate	non_apobec3.clock.rate	coalescent.all	
0	463	-233510	43839.2	-277349	5.59641	2017.01	39.5155	3	0	0	0.001	-89.0657	
20000	429	-226327	43839.9	-270167	5.64854	2017.01	40.7206	13.4519	0.348592	0.000189957	1.36491e-05	-86.8407	
40000	407	-226029	43832.5	-269862	6.18061	2016.44	45.5113	21.4591	0.399134	0.000148404	1.16928e-05	-93.6897	
60000	395	-225818	43833.7	-269652	5.90396	2016.75	44.2649	40.9576	0.610062	0.000152049	8.22352e-06	-91.871	
80000	387	-225697	43833.6	-269531	6.04946	2016.59	45.8202	36.8269	0.572241	0.000158624	6.88321e-06	-92.0652	
100000	378	-225581	43827.6	-269408	6.51741	2016.1	48.1748	44.1636	0.538683	0.00013515	6.37371e-06	-97.8797	
120000	375	-225485	43834.6	-269319	6.15684	2016.44	43.7867	45.3706	0.576895	0.000137418	5.44663e-06	-90.8459	
140000	368	-225364	43838	-269202	6.05534	2016.57	42.8419	18.2648	0.417032	0.000149778	5.13251e-06	-88.3455	
160000	367	-225338	43839	-269177	5.89483	2016.71	41.687	11.9213	0.288663	0.000157639	8.73745e-06	-87.8656	
180000	366	-225329	43837.2	-269166	6.01898	2016.63	42.7155	36.5664	0.553653	0.000153345	6.23108e-06	-88.548	
200000	366	-225341	43832.5	-269174	6.0183	2016.57	43.6123	35.2916	0.53031	0.000150419	6.38966e-06	-93.218	
220000	366	-225365	43828.4	-269193	5.87321	2016.77	45.9995	57.0822	0.661202	0.000144982	6.28464e-06	-96.8235	
240000	366	-225328	43835.3	-269164	5.69616	2016.95	42.4193	47.2302	0.647414	0.000157966	7.8376e-06	-90.1245	
260000	366	-225335	43835.4	-269171	6.26616	2016.35	43.2431	34.7336	0.647619	0.000158328	6.349e-06	-90.3315	
280000	366	-225345	43831.3	-269176	6.0412	2016.55	43.9008	118.626	0.834803	0.000153186	6.64011e-06	-93.1867	
300000	365	-225354	43828.4	-269182	6.03336	2016.58	46.3256	50.6169	0.565509	0.000132834	6.25629e-06	-96.9049	
320000	365	-225360	43828.7	-269189	6.27094	2016.36	47.2347	17.1566	0.316898	0.000132439	6.60819e-06	-97.7587	
340000	364	-225320	43832.1	-269152	6.12338	2016.49	44.4282	53.1014	0.671646	0.000158861	4.39609e-06	-93.1655	
360000	364	-225315	43831	-269146	6.07664	2016.58	43.8089	70.9921	0.698115	0.000149505	9.24655e-06	-94.0298	
380000	364	-225348	43826.9	-269175	6.08956	2016.53	47.8648	24.3895	0.50068	0.000128139	5.79918e-06	-99.1802	
400000	363	-225346	43823.5	-269170	6.24653	2016.4	49.1276	17.8008	0.351206	0.000133127	6.63763e-06	-102.923	
420000	363	-225331	43825.6	-269156	6.43296	2016.23	47.2268	59.3084	0.590289	0.000130412	5.32522e-06	-99.5875	
440000	363	-225330	43828.1	-269159	6.56299	2016.1	47.6107	19.8547	0.334057	0.000136217	6.18039e-06	-98.1773	
460000	363	-225327	43828.4	-269156	6.40965	2016.18	47.2036	26.0964	0.418306	0.000138227	5.96023e-06	-97.6706	
480000	362	-225291	43834.2	-269125	6.16763	2016.47	45.0721	12.214	0.328557	0.000142553	6.00027e-06	-92.6322	
500000	361	-225274	43830.4	-269105	5.99945	2016.62	44.0963	6.82509	0.0738758	0.000139658	4.99349e-06	-97.0333	
520000	358	-225241	43831.7	-269072	6.25699	2016.38	45.5704	26.9437	0.441208	0.000140659	6.83136e-06	-94.3305	
540000	355	-225197	43831.6	-269028	6.14914	2016.45	45.2992	17.0348	0.339377	0.000132443	6.08327e-06	-94.8303	
560000	350	-225128	43831.7	-268960	6.12448	2016.48	45.4981	11.747	0.278406	0.000140438	5.26702e-06	-95.1458	
580000	346	-225097	43826.8	-268923	6.36115	2016.25	48.1675	15.1385	0.30663	0.000137103	5.46562e-06	-99.8158	
600000	344	-225041	43834.3	-268875	6.81378	2015.84	45.3674	18.4694	0.434821	0.000147282	7.2735e-06	-92.054	
620000	343	-225039	43831.3	-268870	6.66345	2016	46.8078	30.5637	0.494257	0.000130452	5.9864e-06	-94.5443	
640000	343	-225028	43832.2	-268861	6.41238	2016.24	45.5121	33.0776	0.591434	0.000137173	5.93574e-06	-93.5687	
660000	343	-225036	43831.1	-268868	6.16206	2016.46	46.2812	23.6585	0.456429	0.000139559	7.47153e-06	-95.0373	
680000	343	-225044	43826.7	-268870	6.07754	2016.53	46.6919	101.781	0.747638	0.000121242	7.22105e-06	-97.8932	
700000	343	-225054	43825.5	-268880	6.7986	2015.83	47.9694	134.554	0.784364	0.000116759	6.81066e-06	-98.8851	
720000	343	-225033	43830.3	-268863	6.47825	2016.15	45.897	75.2084	0.669426	0.000132501	6.42311e-06	-94.687	
740000	343	-225040	43831	-268871	6.35721	2016.23	46.8329	45.6127	0.585156	0.000122944	5.93939e-06	-94.4016	
760000	343	-225015	43835.1	-268850	6.58428	2016.04	44.0445	42.9142	0.598914	0.000128985	5.7417e-06	-90.407	
780000	344	-225044	43832.4	-268876	6.37582	2016.22	45.7158	26.4707	0.510507	0.000135414	6.97473e-06	-93.6011	
800000	344	-225042	43830.9	-268873	6.31467	2016.32	45.2029	8.72389	0.166761	0.000142446	5.54594e-06	-96.2379	
820000	344	-225051	43833.3	-268884	6.8156	2015.8	46.7166	12.9322	0.321177	0.000130969	5.4547e-06	-93.4456	
840000	343	-225052	43830.1	-268882	6.83874	2015.77	48.4857	16.7225	0.386939	0.000127037	5.99556e-06	-96.3743	
860000	343	-225028	43833.8	-268862	6.67447	2015.94	45.6352	13.3841	0.306148	0.000136832	7.38892e-06	-92.8982	
880000	343	-225047	43827.3	-268874	6.34547	2016.3	47.337	26.9963	0.50683	0.000135811	6.6104e-06	-98.7411	
900000	343	-225007	43836.9	-268844	6.28946	2016.3	43.3249	17.8687	0.398997	0.000146937	7.10019e-06	-89.5504	
920000	343	-225000	43836	-268836	5.94302	2016.64	42.2027	53.8839	0.763923	0.000153567	8.08379e-06	-89.2658	
940000	343	-224992	43838.4	-268831	5.80343	2016.79	41.594	19.9634	0.456733	0.000147812	5.60283e-06	-87.8627	
960000	343	-225007	43837.5	-268845	6.0067	2016.6	43.1762	38.539	0.636475	0.000133083	8.7466e-06	-88.0722	
980000	343	-225013	43833.4	-268846	6.13146	2016.48	43.633	85.8985	0.774608	0.000134714	7.01179e-06	-91.3787	
1000000	345	-225034	43834.3	-268868	6.03333	2016.58	42.2389	80.3131	0.834534	0.000146076	5.94616e-06	-90.5837	
1020000	343	-224997	43839.3	-268836	6.46045	2016.19	42.2835	30.4116	0.56429	0.000144371	7.97117e-06	-86.5995	
1040000	343	-225022	43831.6	-268853	5.97785	2016.63	44.4816	37.6113	0.542254	0.000141154	7.46066e-06	-94.0823	
1060000	343	-225030	43831.5	-268861	6.31124	2016.32	45.3859	35.6545	0.529203	0.000125351	7.99568e-06	-94.2438	
1080000	343	-225022	43833.1	-268855	5.99175	2016.65	44.5139	28.9555	0.478165	0.000146939	4.99283e-06	-92.8069	
1100000	343	-224991	43838	-268829	5.8062	2016.82	41.4595	40.7644	0.625057	0.000143631	8.20662e-06	-87.5971	
1120000	343	-225004	43836.6	-268841	6.03694	2016.62	42.8308	9.88257	0.258955	0.000143199	8.19509e-06	-90.3846	
1140000	343	-225043	43829.5	-268873	6.39122	2016.21	47.0987	22.064	0.403807	0.000125496	5.29426e-06	-96.7005	
1160000	343	-225049	43829.9	-268879	6.62431	2016	48.0318	26.0573	0.471557	0.000123757	6.73046e-06	-96.1732	
1180000	343	-225052	43828.8	-268881	7.19644	2015.46	48.2153	14.9237	0.266807	0.000131965	5.10559e-06	-97.7921	
1200000	343	-225039	43830.6	-268870	6.8591	2015.78	46.6414	9.67502	0.295919	0.000142329	6.45389e-06	-96.4043	
1220000	343	-225044	43829.8	-268873	6.88198	2015.75	47.1581	25.3683	0.413372	0.000136878	5.59476e-06	-96.2914	
1240000	343	-225026	43834.1	-268860	6.6939	2015.94	45.5022	17.5086	0.384278	0.000131409	6.38131e-06	-92.3685	
1260000	343	-225042	43828	-268870	6.40165	2016.26	46.7504	36.7067	0.551073	0.000121304	6.39287e-06	-97.6987	
1280000	343	-225036	43831.8	-268868	6.54703	2016.04	46.4358	39.8727	0.592537	0.000126145	5.62917e-06	-93.8064	
1300000	343	-225031	43831.4	-268862	6.29911	2016.31	45.6684	19.0945	0.404587	0.000124524	5.85026e-06	-94.8937	
1320000	343	-225023	43832.2	-268855	5.9303	2016.66	44.7987	11.5076	0.310612	0.000132389	6.65606e-06	-94.6112	
1340000	343	-225045	43828.9	-268874	6.07533	2016.51	47.3905	20.9976	0.387588	0.000128821	6.06688e-06	-97.342	
1360000	343	-225045	43825.5	-268871	6.31998	2016.34	46.9365	16.2339	0.439737	0.000129407	5.85063e-06	-100.979	
1380000	343	-225020	43832.2	-268852	6.23712	2016.41	44.3612	38.5584	0.537515	0.000140116	7.25669e-06	-93.4351	
1400000	343	-225019	43834.3	-268854	6.39845	2016.21	44.5807	12.532	0.24542	0.000137686	7.0182e-06	-92.4475	
1420000	343	-225019	43834.3	-268853	5.91745	2016.68	44.4303	17.0309	0.36956	0.00013994	5.29588e-06	-92.1773	
1440000	343	-225037	43829.6	-268866	6.04161	2016.62	46.1695	47.9368	0.605433	0.000133203	5.18718e-06	-95.8558	
1460000	343	-225060	43821	-268881	6.26915	2016.37	48.0992	134.272	0.86544	0.00014206	5.87325e-06	-103.385	
1480000	343	-225073	43823.1	-268896	6.56491	2016.1	50.2193	97.6614	0.7635	0.000118158	4.59826e-06	-101.663	
1500000	343	-225053	43826.6	-268880	6.2623	2016.32	48.0575	72.5279	0.673411	0.000129187	5.06377e-06	-98.3316	
1520000	343	-225013	43834.5	-268847	5.94077	2016.71	43.7474	35.9604	0.595876	0.000144838	6.96083e-06	-91.19	
1540000	344	-225046	43830.5	-268876	6.02316	2016.63	45.7766	25.3569	0.441565	0.000132559	6.29798e-06	-95.5587	
1560000	343	-225044	43828.5	-268873	6.31558	2016.3	47.0981	29.5133	0.468409	0.00013558	5.87803e-06	-97.3879	
1580000	343	-225044	43829.5	-268874	6.60713	2016	47.2492	43.668	0.598412	0.000131231	6.94231e-06	-95.9531	
1600000	343	-225020	43834.2	-268854	6.60761	2016.05	44.6396	41.9076	0.589767	0.000140364	7.23912e-06	-91.3761	
1620000	343	-224994	43838.1	-268832	5.84343	2016.75	41.8821	36.0181	0.592227	0.000152135	7.10589e-06	-87.5609	
1640000	343	-225012	43838.1	-268850	6.37139	2016.24	43.8223	16.8107	0.410049	0.000153009	5.33301e-06	-88.3302	
1660000	343	-225017	43835	-268852	6.14675	2016.45	44.3441	19.0563	0.44413	0.00014192	7.13448e-06	-91.3653	
1680000	343	-225009	43835.6	-268844	6.23083	2016.43	43.3405	10.556	0.332571	0.000151125	6.2881e-06	-91.4005	
1700000	343	-224993	43834.2	-268827	5.91516	2016.73	41.3011	7.8701	0.338097	0.000150066	6.31005e-06	-93.0674	
1720000	343	-225008	43833.9	-268842	5.81542	2016.84	42.776	14.3656	0.43271	0.000159461	5.98323e-06	-92.7894	
1740000	343	-225041	43829.4	-268871	6.22759	2016.39	46.7827	20.353	0.407867	0.000140283	5.78691e-06	-96.8513	
1760000	343	-225047	43832.3	-268880	7.08388	2015.52	47.7963	53.9695	0.655549	0.000122478	4.4973e-06	-92.9307	
1780000	343	-225008	43837.1	-268845	6.20386	2016.43	43.4354	23.0283	0.45518	0.000147156	6.59183e-06	-89.0503	
1800000	343	-225021	43833.1	-268855	6.13192	2016.47	44.5888	62.302	0.699702	0.000147015	5.75686e-06	-92.0148	
1820000	343	-225041	43833.1	-268874	6.63932	2016	47.0531	20.7096	0.4215	0.000118457	7.44811e-06	-93.178	
1840000	343	-225010	43836.9	-268847	6.5204	2016.08	43.4871	13.4313	0.319341	0.000146136	5.22963e-06	-89.7634	
1860000	343	-225005	43834.7	-268839	6.00374	2016.62	42.7913	47.4475	0.598869	0.000140372	6.25377e-06	-90.7361	
1880000	343	-225017	43834.5	-268852	6.38774	2016.27	44.362	38.2199	0.546441	0.000131983	6.3445e-06	-91.1575	
1900000	343	-225030	43832.2	-268862	6.36966	2016.26	45.5389	45.8447	0.655537	0.000124704	7.35159e-06	-93.2057	
1920000	343	-225011	43834.7	-268846	6.22251	2016.41	43.4202	44.3124	0.613719	0.000129286	5.84617e-06	-90.7657	
1940000	343	-225016	43835.3	-268851	6.40349	2016.21	44.2406	28.4073	0.512755	0.000131776	6.3084e-06	-90.6018	
1960000	343	-225041	43830.2	-268871	6.24463	2016.4	46.2237	27.5627	0.430758	0.000121595	4.11887e-06	-95.758	
1980000	343	-225047	43830	-268877	6.75303	2015.9	47.4454	33.4262	0.45692	0.000114783	6.67116e-06	-95.7739	
2000000	343	-225037	43831.4	-268869	6.12982	2016.46	46.6311	17.935	0.389728	0.000129011	6.29047e-06	-95.0142	
2020000	343	-225059	43827.8	-268887	6.68026	2015.98	48.4635	60.3079	0.653404	0.000129021	3.73142e-06	-97.3832	
2040000	343	-225029	43829.1	-268858	6.01352	2016.57	44.8333	100.787	0.830414	0.000141301	8.4546e-06	-95.5249	
2060000	343	-225008	43835.7	-268844	6.1025	2016.55	42.5565	46.8374	0.61828	0.000136788	8.53595e-06	-89.7542	
2080000	343	-225026	43832.5	-268859	6.4355	2016.15	45.1896	64.7075	0.688196	0.000138444	7.45645e-06	-92.5367	
2100000	343	-225018	43833.1	-268851	6.49842	2016.16	44.0224	79.4588	0.701497	0.000123111	6.67053e-06	-91.7733	
2120000	343	-225034	43829	-268863	6.06136	2016.57	45.6385	50.3186	0.657168	0.000134561	5.06491e-06	-96.3874	
2140000	343	-225036	43831.7	-268868	6.11865	2016.49	46.4018	50.2825	0.647823	0.000128037	5.16901e-06	-93.6919	
2160000	343	-225028	43831.5	-268859	6.02715	2016.59	44.8076	86.7953	0.755629	0.000116446	7.6768e-06	-93.2891	
2180000	343	-225045	43825.1	-268870	6.04738	2016.61	46.6213	160.9	0.817902	0.000135837	5.03555e-06	-99.0888	
2200000	343	-225076	43819.3	-268895	6.09436	2016.52	50.2737	353.096	0.96637	0.00011913	4.96804e-06	-104.12	
2220000	343	-225049	43825.8	-268875	6.28447	2016.31	47.3676	99.92	0.763803	0.000137269	5.32798e-06	-98.867	
2240000	343	-225043	43829.7	-268873	6.38324	2016.26	46.8487	49.8613	0.616591	0.00011807	4.89316e-06	-95.6477	
2260000	343	-225072	43824.9	-268897	6.76519	2015.88	50.3157	33.5022	0.452706	0.000127492	4.45636e-06	-100.863	
2280000	343	-225086	43822.4	-268908	6.94066	2015.69	52.2756	70.1782	0.589458	0.000121916	5.11557e-06	-102.663	
2300000	343	-225045	43828.6	-268874	6.60967	2016	47.2486	42.2362	0.621369	0.000136291	6.49169e-06	-96.8971	
2320000	343	-225054	43823.7	-268878	6.11274	2016.54	47.8867	94.7616	0.654778	0.000132893	5.76191e-06	-100.999	
